isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;currency_risk;strategy_risk;category;is_leveraged;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;return_1m;return_3m;return_6m;return_2021;return_2022;return_2023;return_2024;return_inception;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker;exchange_6_name;exchange_6_currency;exchange_6_ticker;exchange_6_bloomberg;exchange_6_reuters;exchange_6_market_maker;exchange_7_name;exchange_7_currency;exchange_7_ticker;exchange_7_bloomberg;exchange_7_reuters;exchange_7_market_maker;exchange_8_name;exchange_8_currency;exchange_8_ticker;exchange_8_bloomberg;exchange_8_reuters;exchange_8_market_maker;exchange_9_name;exchange_9_currency;exchange_9_ticker;exchange_9_bloomberg;exchange_9_reuters;exchange_9_market_maker;exchange_10_name;exchange_10_currency;exchange_10_ticker;exchange_10_bloomberg;exchange_10_reuters;exchange_10_market_maker;rating;rating_score;rating_ter_score;rating_size_score;rating_track_record_score;rating_provider_score;rating_performance_score
LU0514695187;Xtrackers MSCI India Swap UCITS ETF 1C 1C;https://www.justetf.com/en/etf-profile.html?isin=LU0514695187;The Xtrackers MSCI India Swap UCITS ETF 1C 1C seeks to track the MSCI India index. The MSCI India index tracks the leading Indian stocks. The ETF's TER (total expense ratio) amounts to 0.19% p.a.. The Xtrackers MSCI India Swap UCITS ETF 1C 1C is the cheapest ETF that tracks the MSCI India index. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Xtrackers MSCI India Swap UCITS ETF 1C 1C is a large ETF with 550m Euro assets under management. The ETF was launched on 24 June 2010 and is domiciled in Luxembourg.;Xtrackers MSCI India Swap UCITS ETF 1C 1C se snaží sledovat index MSCI India. Index MSCI India sleduje přední indické akcie. TER (celkový poměr nákladů) činí 0,19% p.a. Xtrackers MSCI India Swap UCITS ETF 1C 1C je nejlevnější ETF, který sleduje index MSCI India. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Xtrackers MSCI India Swap UCITS ETF 1C 1C je velký ETF s managementem 550 milionů euro. ETF byl spuštěn 24. června 2010 a je bydliště v Lucemburku.;0.19%;0.19;EUR 550m;550.0;EUR;USD;Luxembourg;Xtrackers;24 June 2010;;;Synthetic (Unfunded swap);UCITS;MSCI India Swap  1C 1C;Equity, India;;USD    Currency risk  Currency;1;Akcie;False;Celosvětově;;-15.33;9.01;82.16;-10.85;-1.17;-3.39;-3.23;34.93;-3.48;15.18;17.14;122.54;16.59;14.75;15.82;-0.92;0.2;0.81;-20.09;-20.09;-21.0;-43.06;;;;;Singapore Stock Exchange;-;7;;;;;;;2025-09-24T03:32:02.456910;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;XCS5;;;;Stuttgart Stock Exchange;EUR;XCS5;;;;Borsa Italiana;EUR;XCS5;XCS5 IM;XCS5.MI;;London Stock Exchange;GBX;XCX5;XCX5 LNXCX5INVG;XCX5.LXCX5INAVGBP.DE;;London Stock Exchange;USD;XCS5;XCS5 LNXCS5INVU;XCS5.LXCS5INAVUSD.DE;;Singapore Stock Exchange;USD;-;LG8 SPXCS5INVC;DMNI.SIXCS5INAVCHF.DE;;XETRA;EUR;XCS5;XCS5 GY;XCS5.DE;;;;;;;;;;;;;;;;;;;;4;66;17;10;15;10;14
LU0514695690;Xtrackers MSCI China UCITS ETF 1C;https://www.justetf.com/en/etf-profile.html?isin=LU0514695690;The Xtrackers MSCI China UCITS ETF 1C seeks to track the MSCI China index. The MSCI China index tracks the largest and most liquid Chinese stocks (A shares, H shares, B shares, Red chips, P chips). The ETF's TER (total expense ratio) amounts to 0.65% p.a.. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The Xtrackers MSCI China UCITS ETF 1C is a very large ETF with 1,261m Euro assets under management. The ETF was launched on 24 June 2010 and is domiciled in Luxembourg.;Xtrackers MSCI China UCITS ETF 1C se snaží sledovat index MSCI China. Index MSCI China sleduje největší a nejvíce likvidní čínské akcie (akcie, H akcie, akcie B, červené čipy, P čipy). TER (celkový poměr nákladů) ETF činí 0,65% p.a. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. Xtrackers MSCI China UCITS ETF 1C je velmi velký ETF s 1 261 miliony euro. ETF byl spuštěn 24. června 2010 a je bydliště v Lucemburku.;0.65%;0.65;EUR 1261m;1261.0;EUR;USD;Luxembourg;Xtrackers;24 June 2010;;;Physical;UCITS;MSCI China  1C;Equity, China;;USD    Currency risk  Currency;1;Akcie;False;Celosvětově;549.0;46.74;30.96;-2.75;21.59;5.07;17.39;7.52;-15.64;-17.46;-14.93;26.24;90.69;28.18;25.47;26.44;1.66;0.37;-0.02;-20.77;-34.22;-56.68;-56.68;;;;;Singapore Stock Exchange;-;9;;;;;;;2025-09-24T03:32:13.426816;success;0;Alibaba Group Holding Ltd.;9.55;Xiaomi Corp.;4.2;China Construction Bank Corp.;3.33;PDD Holdings;3.07;Meituan;2.74;BYD Co., Ltd.;1.98;Ping An Insurance (Group) Co. of China Ltd.;1.76;Industrial & Commercial Bank of China Ltd.;1.74;NetEase, Inc.;1.72;;;China;91.93;Other;3.88;;;;;;;Consumer Discretionary;27.64;Financials;17.41;Technology;8.31;IT;2.74;;;gettex;EUR;XCS6;;;;Stuttgart Stock Exchange;EUR;XCS6;;;;Borsa Italiana;EUR;XCS6;XCS6 IM;XCS6.MILG9USDINAV=SOLA;;London Stock Exchange;GBX;XCX6;XCX6 LNXCS6INVC;XCX6.LXCS6INAVCHF.DE;;London Stock Exchange;USD;XCS6;XCS6 LNXCS6INAV;XCS6.LXCS6INAV.DE;;Singapore Stock Exchange;USD;-;LG9 SP;DMCN.SI;;Singapore Stock Exchange;SGD;-;TID SPTIDSGIV;DMCN-D.SITIDSGDINAV=SOLA;;SIX Swiss Exchange;CHF;XMCH;XMCH SW;XMCH.S;;XETRA;EUR;XCS6;XCS6 GY;XCS6.DE;;;;;;;;3;63;6;13;15;10;19
LU0524480265;Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C;https://www.justetf.com/en/etf-profile.html?isin=LU0524480265;The Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C seeks to track the iBoxx® EUR Sovereigns Eurozone Yield Plus index. The iBoxx® EUR Sovereigns Eurozone Yield Plus index tracks Euro denominated government bonds issued by the Eurozone countries with the highest yields. Maximum weight per bond: 20%. The ETF's TER (total expense ratio) amounts to 0.15% p.a.. The Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C is the cheapest and largest ETF that tracks the iBoxx® EUR Sovereigns Eurozone Yield Plus index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C is a large ETF with 997m Euro assets under management. The ETF was launched on 22 September 2010 and is domiciled in Luxembourg.;Xtrackers IBOXX Sovereigns Eurozóna výnosu plus UCITS ETF 1C se snaží sledovat index eurozóny Eurozneu Iboxx® Eur Sovereigns Plus. IBOXX® EUR Sovereigns Eurozóna výnos plus index sleduje euro denominované vládní dluhopisy vydané zeměmi eurozóny s nejvyššími výnosy. Maximální hmotnost na vazbu: 20%. TER (celkový poměr nákladů) činí 0,15% p.a. Xtrackers IBOXX suvereigns eurozne výnos plus UCITS ETF 1C je nejlevnější a největší ETF, který sleduje IBOXX® EUR suvereigns eurozone výnos plus index. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF. Xtrackers IBOXX Sovereigns Eurozóna výnosu plus UCITS ETF 1C je velký ETF s 997 miliony euro ve spravování. ETF byl spuštěn 22. září 2010 a je bydliště v Lucemburku.;0.15%;0.15;EUR 997m;997.0;EUR;EUR;Luxembourg;Xtrackers;22 September 2010;;;Physical;UCITS;;Bonds, EUR, Europe, Government, All maturities;;EUR    Currency risk  Currency;1;Dluhopisy;False;Evropa;234.0;1.47;10.1;-7.66;0.79;-0.02;-0.35;1.92;-2.95;-17.62;8.12;3.83;48.46;4.29;6.09;6.08;0.34;0.53;-0.26;-3.67;-5.78;-20.5;-20.5;;;;;gettex;XY4P;4;;;;;;;2025-09-24T03:32:20.607310;success;0;FR0013286192;1.29;FR0011317783;1.28;FR0012993103;1.24;FR0013341682;1.22;FR0013407236;1.14;FR0013313582;1.06;;;;;;;;;Other;14.72;;;;;;;;;IT;44.9;;;;;;;;;gettex;EUR;XY4P;;;;Stuttgart Stock Exchange;EUR;XY4P;;;;Borsa Italiana;EUR;XY4P;XY4P IM;XY4P.MIXY4PNAV=DBFT;;XETRA;EUR;XY4P;XY4P GYXY4PIV;XY4P.DEXY4PINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;75;22;10;15;10;18
LU0533032859;Amundi MSCI World Financials UCITS ETF EUR Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0533032859;The Amundi MSCI World Financials UCITS ETF EUR Acc seeks to track the MSCI World Financials index. The MSCI World Financials index tracks the financial sector of the developed markets worldwide (GICS sector classification). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI World Financials UCITS ETF EUR Acc has 148m Euro assets under management. The ETF was launched on 23 August 2010 and is domiciled in Luxembourg.;Amundi MSCI World Financials UCITS ETF EUR ACC se snaží sledovat index finančních prostředků MSCI. Index MSCI World Financials sleduje finanční sektor rozvinutých trhů po celém světě (klasifikace sektoru GICS). ETF TER (celkový poměr nákladů) činí 0,30% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Amundi MSCI World Financials UCITS ETF EUR ACC má ve správě aktiv 148 milionů EUR. ETF byl spuštěn 23. srpna 2010 a je bydliště v Lucemburku.;0.30%;0.3;EUR 148m;148.0;EUR;EUR;Luxembourg;Amundi ETF;23 August 2010;Accumulating;;Synthetic (Unfunded swap);UCITS;MSCI World;Equity, World, Financials;;EUR    Currency risk  Currency;1;Akcie;False;Celosvětově;;21.12;64.98;158.01;7.84;-0.11;7.17;5.94;37.87;-4.18;12.07;34.88;354.15;16.46;14.26;15.52;1.28;1.27;1.34;-18.22;-18.22;-18.22;-42.61;;;;;Borsa Italiana;-;6;;;;;;;2025-09-24T03:32:29.779255;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;LYPD;;;;Stuttgart Stock Exchange;EUR;LYPD;;;;Borsa Italiana;EUR;FINSW;;;;Borsa Italiana;EUR;-;FINSW IMFINSWIV;LFINSW.MIFINSWINAV=SOLA;;Euronext Paris;EUR;FINSW;FINSW FPFINSWIV;LYXFINW.PAFINSWINAV=SOLA;;XETRA;EUR;LYPD;LYPD GYFINSWIV;LYPD.DEFINSWINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;3;62;12;5;15;10;20
LU0533033071;Amundi MSCI World Financials UCITS ETF USD Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0533033071;The Amundi MSCI World Financials UCITS ETF USD Acc seeks to track the MSCI World Financials index. The MSCI World Financials index tracks the financial sector of the developed markets worldwide (GICS sector classification). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI World Financials UCITS ETF USD Acc is a large ETF with 685m Euro assets under management. The ETF was launched on 23 August 2010 and is domiciled in Luxembourg.;AMCUNDI MSCI Financials UCITS ETF USD ACC se snaží sledovat index MSCI World Financials. Index MSCI World Financials sleduje finanční sektor rozvinutých trhů po celém světě (klasifikace sektoru GICS). ETF TER (celkový poměr nákladů) činí 0,30% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. AMD AMDI MSCI World UCITS ETF USD ACC je velký ETF s řízením 685 milionů EUR. ETF byl spuštěn 23. srpna 2010 a je bydliště v Lucemburku.;0.30%;0.3;EUR 685m;685.0;EUR;USD;Luxembourg;Amundi ETF;23 August 2010;Accumulating;;Synthetic (Unfunded swap);UCITS;MSCI World;Equity, World, Financials;;USD    Currency risk  Currency;1;Akcie;False;Celosvětově;;21.45;66.25;158.95;8.27;-0.98;7.25;6.19;38.82;-4.51;11.97;34.48;356.17;17.22;15.54;16.56;1.25;1.19;1.27;-18.52;-18.52;-18.52;-42.71;;;;;Bolsa Mexicana de Valores;-;4;;;;;;;2025-09-24T03:32:36.258116;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;1DR0;;;;Bolsa Mexicana de Valores;MXN;-;FINWN MM;;;London Stock Exchange;USD;FINW;FINW LNFINWIV;FINW.LFINWINAV=SOLA;;SIX Swiss Exchange;USD;LYFINW;LYFINW SWFINWIV;LYFINW.SFINWINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;67;12;10;15;10;20
LU0533033238;Amundi MSCI World Health Care UCITS ETF EUR Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0533033238;The Amundi MSCI World Health Care UCITS ETF EUR Acc seeks to track the MSCI World Health Care index. Der MSCI World Health Care index tracks the health care sector of the developed markets worldwide (GICS sector classification). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI World Health Care UCITS ETF EUR Acc is a large ETF with 629m Euro assets under management. The ETF was launched on 19 August 2010 and is domiciled in Luxembourg.;Světová zdravotní péče Amundi MSCI UCITS ETF EUR ACC se snaží sledovat index zdravotní péče MSCI. Der MSCI World Health Care Index sleduje zdravotnický sektor rozvinutých trhů po celém světě (klasifikace sektoru GICS). ETF TER (celkový poměr nákladů) činí 0,30% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Amundi MSCI World Health Care UCITS ETF EUR ACC je velký ETF s managementem 629 mil. EUR. ETF byl spuštěn 19. srpna 2010 a je bydliště v Lucemburku.;0.30%;0.3;EUR 629m;629.0;EUR;EUR;Luxembourg;Amundi ETF;19 August 2010;Accumulating;;Synthetic (Unfunded swap);UCITS;MSCI World;Equity, World, Health Care;;EUR    Currency risk  Currency;1;Akcie;False;Celosvětově;;-13.88;0.13;30.71;-9.09;-0.73;2.12;-10.74;28.52;0.47;-0.13;7.53;400.0;14.05;12.39;12.83;-0.99;0.0;0.43;-19.46;-20.66;-20.66;-26.68;;;;;Borsa Italiana;-;6;;;;;;;2025-09-24T03:32:44.141415;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;LYPE;;;;Stuttgart Stock Exchange;EUR;LYPE;;;;Borsa Italiana;EUR;HLTW;;;;Borsa Italiana;EUR;-;HLTW IMHLTWEUIV;LHLTW.MIHLTWEURINAV=SOLA;;Euronext Paris;EUR;HLTW;HLTW FPHLTWEUIV;LYXHLTW.PAHLTWEURINAV=SOLA;;XETRA;EUR;LYPE;LYPE GYHLTWEUIV;LYPE.DEHLTWEURINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;3;62;12;10;15;10;15
LU0533033311;Amundi MSCI World Health Care UCITS ETF USD Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0533033311;The Amundi MSCI World Health Care UCITS ETF USD Acc seeks to track the MSCI World Health Care index. Der MSCI World Health Care index tracks the health care sector of the developed markets worldwide (GICS sector classification). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI World Health Care UCITS ETF USD Acc is a small ETF with 71m Euro assets under management. The ETF was launched on 19 August 2010 and is domiciled in Luxembourg.;Světová péče o zdravotnictví Amundi MSCI UCITS ETF USD ACC se snaží sledovat index zdravotní péče MSCI. Der MSCI World Health Care Index sleduje zdravotnický sektor rozvinutých trhů po celém světě (klasifikace sektoru GICS). ETF TER (celkový poměr nákladů) činí 0,30% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. ACC ACC ACC ACC ACC ACC ACC ACC ACC AMCIDI MSCI je malý ETF s managementem 71 milionů euro. ETF byl spuštěn 19. srpna 2010 a je bydliště v Lucemburku.;0.30%;0.3;EUR 71m;71.0;EUR;USD;Luxembourg;Amundi ETF;19 August 2010;Accumulating;;Synthetic (Unfunded swap);UCITS;MSCI World;Equity, World, Health Care;;USD    Currency risk  Currency;1;Akcie;False;Celosvětově;;-13.71;0.81;31.08;-8.81;-1.68;2.11;-10.6;29.42;0.13;-0.23;7.22;398.75;14.32;13.35;13.59;-0.96;0.02;0.41;-19.61;-20.76;-20.76;-26.79;;;;;gettex;7H60;3;;;;;;;2025-09-24T03:32:50.276425;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;7H60;;;;London Stock Exchange;USD;HLTW;HLTW LNHLTWUSIV;HLTW.LHLTWUSDINAV=SOLA;;SIX Swiss Exchange;USD;LYHLTW;LYHLTW SWHLTWUSIV;LYHLTW.SHLTWUSDINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;55;12;1;15;10;17
LU0533033667;Amundi MSCI World Information Technology UCITS ETF EUR Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0533033667;The Amundi MSCI World Information Technology UCITS ETF EUR Acc seeks to track the MSCI World Information Technology index. The MSCI World Information Technology index tracks the information technology sector of the developed markets worldwide (GICS sector classification). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The Amundi MSCI World Information Technology UCITS ETF EUR Acc is the cheapest and largest ETF that tracks the MSCI World Information Technology index. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI World Information Technology UCITS ETF EUR Acc is a very large ETF with 2,275m Euro assets under management. The ETF was launched on 16 August 2010 and is domiciled in Luxembourg.;Amundi MSCI World Information Technology UCITS ETF EUR ACC se snaží sledovat index World Information Technology MSCI. Index MSCI World Information Technology Index sleduje odvětví informačních technologií na rozvinutých trzích po celém světě (klasifikace sektoru GICS). TER (celkový poměr výdajů) ETF činí 0,30% P.A. Amundi MSCI World Information Technology UCITS ETF EUR ACC je nejlevnější a největší ETF, který sleduje index World Information Technology MSCI. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Amundi MSCI World Information Technology UCITS ETF EUR ACC je velmi velký ETF s spravováním 2 275 milionů euro. ETF byl spuštěn 16. srpna 2010 a je bydliště v Lucemburku.;0.30%;0.3;EUR 2275m;2275.0;EUR;EUR;Luxembourg;Amundi ETF;16 August 2010;Accumulating;;Synthetic (Unfunded swap);UCITS;MSCI World;Equity, World, Technology;;EUR    Currency risk  Currency;1;Akcie;False;Celosvětově;;21.56;102.62;149.09;6.16;6.25;15.22;20.92;39.26;-26.53;47.52;41.2;1.402;27.29;23.71;23.81;0.79;1.12;0.84;-29.27;-29.27;-29.34;-31.86;;;;;Borsa Italiana;-;6;;;;;;;2025-09-24T03:32:59.190871;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;LYPG;;;;Stuttgart Stock Exchange;EUR;LYPG;;;;Borsa Italiana;EUR;TNOW;;;;Borsa Italiana;EUR;-;TNOW IMLYPGIV;LTNOW.MILYPGINAV=SOLA;;Euronext Paris;EUR;TNOW;TNOW FPLYPGIV;LYXTNOW.PALYPGINAV=SOLA;;XETRA;EUR;LYPG;LYPG GYLYPGIV;LYPG.DELYPGINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;4;70;12;13;15;10;20
LU0533033741;Amundi MSCI World Information Technology UCITS ETF USD Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0533033741;The Amundi MSCI World Information Technology UCITS ETF USD Acc seeks to track the MSCI World Information Technology index. The MSCI World Information Technology index tracks the information technology sector of the developed markets worldwide (GICS sector classification). The ETF's TER (total expense ratio) amounts to 0.30% p.a.. The Amundi MSCI World Information Technology UCITS ETF USD Acc is the cheapest ETF that tracks the MSCI World Information Technology index. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi MSCI World Information Technology UCITS ETF USD Acc has 264m Euro assets under management. The ETF was launched on 16 August 2010 and is domiciled in Luxembourg.;Informační technologie Amundi MSCI World UCITS ETF USD ACC se snaží sledovat index informačních technologií MSCI. Index MSCI World Information Technology Index sleduje odvětví informačních technologií na rozvinutých trzích po celém světě (klasifikace sektoru GICS). TER (celkový poměr nákladů) činí 0,30% P.A. Amundi MSCI World Information Technology UCITS ETF USD ACC je nejlevnější ETF, který sleduje index World Information Technology MSCI. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. Světová informační technologie Amundi MSCI UCITS ETF USD ACC má ve správě aktiv 264 milionů EUR. ETF byl spuštěn 16. srpna 2010 a je bydliště v Lucemburku.;0.30%;0.3;EUR 264m;264.0;EUR;USD;Luxembourg;Amundi ETF;16 August 2010;Accumulating;;Synthetic (Unfunded swap);UCITS;MSCI World;Equity, World, Technology;;USD    Currency risk  Currency;1;Akcie;False;Celosvětově;;21.86;104.14;149.95;6.56;5.3;15.27;21.17;40.24;-26.78;47.4;40.78;1.4;27.78;24.46;24.46;0.79;1.1;0.82;-29.5;-29.5;-29.52;-31.93;;;;;gettex;8Q70;3;;;;;;;2025-09-24T03:33:07.380314;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gettex;EUR;8Q70;;;;London Stock Exchange;USD;TNOW;TNOW LNLYTNOWIV;TNOW.LLYTNOWINAV=SOLA;;SIX Swiss Exchange;USD;LYTNOW;LYTNOW SWLYTNOWIV;LYTNOW.SLYTNOWINAV=SOLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;62;12;5;15;10;20
LU0592215403;Xtrackers MSCI Philippines UCITS ETF 1C;https://www.justetf.com/en/etf-profile.html?isin=LU0592215403;The Xtrackers MSCI Philippines UCITS ETF 1C seeks to track the MSCI Philippines Investable Market (IMI) index. The MSCI Philippines Investable Market (IMI) index tracks large, mid, and small capitalisation companies in the Philippines. The ETF's TER (total expense ratio) amounts to 0.65% p.a.. The Xtrackers MSCI Philippines UCITS ETF 1C is the only ETF that tracks the MSCI Philippines Investable Market (IMI) index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The Xtrackers MSCI Philippines UCITS ETF 1C is a small ETF with 27m Euro assets under management. The ETF was launched on 12 April 2011 and is domiciled in Luxembourg.;Xtrackers MSCI Philippines UCITS ETF 1C se snaží sledovat index investovatelného trhu MSCI Filipín (IMI). Index investovatelného trhu MSCI Filipín (IMI) sleduje na Filipínách velké, střední a malé kapitalizační společnosti. TER (celkový poměr nákladů) činí 0,65% P.A .. Xtrackers MSCI Philippines UCITS ETF 1C je jediný ETF, který sleduje index investovatelného trhu MSCI Filipíny (IMI). ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. Xtrackers MSCI Philippines UCITS ETF 1C je malý ETF s managementem 27 milionů euro. ETF byl spuštěn 12. dubna 2011 a je se sídlem v Lucemburku.;0.65%;0.65;EUR 27m;27.0;EUR;USD;Luxembourg;Xtrackers;12 April 2011;;;Physical;UCITS;MSCI Philippines  1C;Equity, Philippines;;USD    Currency risk  Currency;1;Akcie;False;Celosvětově;32.0;-13.92;-3.55;7.09;-8.11;-1.45;-1.45;-4.23;8.05;-11.18;-2.1;5.71;54.55;20.35;18.25;19.05;-0.68;-0.07;0.07;-21.34;-21.34;-23.67;-52.51;;;;;Singapore Stock Exchange;-;6;;;;;;;2025-09-24T03:33:15.160073;success;0;BDO Unibank, Inc.;11.67;BPI;8.43;SM Prime Holdings, Inc.;7.77;SM Investments Corp.;6.08;Ayala Land, Inc.;5.62;Manila Electric Co.;5.11;Ayala Corp.;4.87;Metropolitan Bank & Trust Co.;4.37;Jollibee Foods Corp.;3.65;;;;;;;;;;;;;Industrials;34.12;Financials;24.48;Real Estate;15.98;Utilities;7.65;;;gettex;EUR;XPQP;;;;Stuttgart Stock Exchange;EUR;XPQP;;;;London Stock Exchange;GBX;XPHG;XPHG LNDPQPINVE;XPHG.LDPQPINAVEUR.DE;;London Stock Exchange;USD;XPHI;XPHI LNDPQPINVU;XPHI.LDPQPINAVUSD.DE;;Singapore Stock Exchange;USD;-;N2E SP;DPQP.SIN2EUSDINAV=SOLA;;XETRA;EUR;XPQP;XPQP GY;XPQP.DE;;;;;;;;;;;;;;;;;;;;;;;;;;2;38;6;1;13;10;8
