isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;category;is_leveraged;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker;rating;rating_score;rating_ter_score;rating_size_score;rating_track_record_score;rating_provider_score;rating_performance_score
IE00B6YX5C33;SPDR S&P 500 UCITS ETF (Dist);https://www.justetf.com/en/etf-profile.html?isin=IE00B6YX5C33;The SPDR S&P 500 UCITS ETF (Dist) seeks to track the S&P 500® index. The S&P 500® index tracks the 500 largest US stocks. The ETF's TER (total expense ratio) amounts to 0.03% p.a.. The SPDR S&P 500 UCITS ETF (Dist) is the cheapest ETF that tracks the S&P 500® index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are distributed to the investors (Quarterly). The SPDR S&P 500 UCITS ETF (Dist) is a very large ETF with 14,396m Euro assets under management. The ETF was launched on 19 March 2012 and is domiciled in Ireland.;SPDR S&P 500 UCITS ETF (Dist) se snaží sledovat index S&P 500®. Index S&P 500® sleduje 500 největších amerických akcií. TER (celkový poměr nákladů) ETF činí 0,03% p.a. SPDR S&P 500 UCITS ETF (DIST) je nejlevnější ETF, který sleduje index S&P 500®. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou distribuovány investorům (čtvrtletně). SPDR S&P 500 UCITS ETF (DIST) je velmi velký ETF s řízením 14 396 m euro. ETF byl spuštěn 19. března 2012 a je se sídlem v Irsku.;0.03%;0.03;EUR 14396m;14396.0;EUR;USD;Ireland;SPDR;19 March 2012;Distributing;Quarterly;Physical;;S&P 500;Equity, United States;;Akcie;False;US;503.0;11.3;48.4;107.84;-0.85;19.99;17.62;17.9;0.57;0.8;0.88;-22.59;-22.59;-22.59;-33.67;;;;;London Stock Exchange;SPX5;9;1.05%;1.05;EUR 5.87;5.87;EUR;method2_regex;2025-09-18T16:14:34.435157;success;0;Microsoft;7.38;Apple;5.77;Amazon.com, Inc.;4.12;Meta Platforms;3.13;Broadcom;2.57;Alphabet, Inc. A;2.08;Alphabet, Inc. C;1.69;Berkshire Hathaway, Inc.;1.61;Tesla;1.61;;;United States;95.85;Other;2.76;;;;;;;Technology;36.33;Financials;10.98;Consumer Discretionary;10.54;;;;;gettex;EUR;SPY5;;;;Stuttgart Stock Exchange;EUR;SPY5;;;;Borsa Italiana;EUR;SPY5;SPY5 IMINSPY5E;SPY5.MI;;Euronext Paris;EUR;SPY5;SPY5 FPINSPY5E;SPY5.PA;;London Stock Exchange;USD;SPY5;SPY5 LNINSPY5;SPY5.L;;5.0;92.0;30.0;19.0;13.0;10.0;20.0
IE00BGSF1X88;iShares USD Treasury Bond 0-1yr UCITS ETF (Acc);https://www.justetf.com/en/etf-profile.html?isin=IE00BGSF1X88;The iShares USD Treasury Bond 0-1yr UCITS ETF (Acc) seeks to track the IDC US Treasury Short Term index. The IDC US Treasury Short Term index tracks US Dollar denominated government bonds issued by the US Treasury. Time to maturity: 0-1 year. The ETF's TER (total expense ratio) amounts to 0.07% p.a.. The iShares USD Treasury Bond 0-1yr UCITS ETF (Acc) is the cheapest and largest ETF that tracks the IDC US Treasury Short Term index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is accumulated and reinvested in the ETF. The iShares USD Treasury Bond 0-1yr UCITS ETF (Acc) is a very large ETF with 14,413m Euro assets under management. The ETF was launched on 20 February 2019 and is domiciled in Ireland.;Treasury Bond IShares USD 0-1YR UCITS ETF (ACC) se snaží sledovat krátkodobý index Treasury IDC US TRAIZURY. Krátkodobý index Treasury IDC USA sleduje vládní dluhopisy vydané americkým ministerstvem pokladny. Čas do splatnosti: 0-1 rok. TER (celkový poměr nákladů) činí 0,07% P.A .. ISShares USD Treasury Bond 0-1yr UCITS ETF (ACC) je nejlevnější a největší ETF, který sleduje krátkodobý index Treasury IDC US Trainery. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). Úrokové výnosy (kupóny) v ETF se nashromáždí a reinvestují do ETF. IShares USD Treasury Bond 0-1YR UCITS ETF (ACC) je velmi velký ETF s vedením 14 413 milionů euro. ETF byl spuštěn 20. února 2019 a je se sídlem v Irsku.;0.07%;0.07;EUR 14413m;14413.0;EUR;USD;Ireland;iShares;20 February 2019;Accumulating;;Physical;;;;;Dluhopisy;False;Globální;72.0;-1.77;-3.38;14.6;-9.58;8.5;8.06;7.6;-0.21;-0.14;0.36;-11.94;-12.2;-12.2;-13.14;;;;;Bolsa Mexicana de Valores;-;4;;;;;;;2025-09-18T16:14:40.264606;success;0;;;;;;;;;;;;;;;;;;;;;Other;73.43;United States;26.57;USA;4.875;;;;;IT;26.57;;;;;;;;;gettex;EUR;IBC1;;;;Bolsa Mexicana de Valores;MXN;-;IB01N MM;IB01N.MX;;London Stock Exchange;USD;IB01;IB01 LNINAVIB0U;IB01.L0XR4INAV.DE;;SIX Swiss Exchange;USD;IB01;IB01 SEINAVIB0U;IB01.S0XR4INAV.DE;;;;;;;;4.0;71.0;26.0;19.0;8.0;10.0;8.0
LU0908500753;Amundi Core Stoxx Europe 600 UCITS ETF Acc;https://www.justetf.com/en/etf-profile.html?isin=LU0908500753;The Amundi Core Stoxx Europe 600 UCITS ETF Acc seeks to track the STOXX® Europe 600 index. The STOXX® Europe 600 index tracks the 600 largest European companies. The ETF's TER (total expense ratio) amounts to 0.07% p.a.. The Amundi Core Stoxx Europe 600 UCITS ETF Acc is the cheapest and largest ETF that tracks the STOXX® Europe 600 index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi Core Stoxx Europe 600 UCITS ETF Acc is a very large ETF with 13,178m Euro assets under management. The ETF was launched on 3 April 2013 and is domiciled in Luxembourg.;Amundi Core Stoxx Europe 600 UCITS ETF ACC se snaží sledovat index Stoxx® Europe 600. Index Stoxx® Europe 600 sleduje 600 největších evropských společností. TER (celkový poměr nákladů) ETF činí 0,07% P.A .. Amundi Core Stoxx Europe 600 UCITS ETF ACC je nejlevnější a největší ETF, který sleduje index Stoxx® Europe 600. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. A AMUNDI STOXX EUROPE 600 UCITS ETF ACC je velmi velký ETF s řízením 13 178 m euro. ETF byla spuštěna 3. dubna 2013 a je bydliště v Lucemburku.;0.07%;0.07;EUR 13178m;13178.0;EUR;EUR;Luxembourg;Amundi;3 April 2013;Accumulating;;Physical;;;Equity, Europe;;Akcie;False;Evropa;610.0;9.88;47.27;70.67;11.48;14.38;12.72;14.76;0.69;1.08;0.76;-16.17;-16.17;-20.62;-35.35;;;;;Bolsa Mexicana de Valores;-;9;;;;;;;2025-09-18T16:14:45.088573;success;0;ASML Holding NV;2.1;Nestlé SA;1.77;Roche Holding AG;1.73;Novartis AG;1.69;AstraZeneca PLC;1.69;HSBC Holdings Plc;1.69;Novo Nordisk A/S;1.67;Shell Plc;1.59;Siemens AG;1.48;;;Other;36.03;United Kingdom;21.27;Germany;14.79;France;14.24;Switzerland;13.67;Financials;22.48;IT;21.27;Industrials;18.78;Health Care;9.99;Consumer Staples;8.95;gettex;EUR;LYP6;;;;Stuttgart Stock Exchange;EUR;LYP6;;;;Bolsa Mexicana de Valores;MXN;-;MEUDN MM;MEUDN.MX;;Borsa Italiana;EUR;MEUD;;;;Borsa Italiana;EUR;-;MEUD IMLYP6IV;MEUD.MILYP6INAV=SOLA;;5.0;88.0;26.0;19.0;13.0;10.0;20.0
IE00BFY0GT14;SPDR MSCI World UCITS ETF;https://www.justetf.com/en/etf-profile.html?isin=IE00BFY0GT14;The SPDR MSCI World UCITS ETF seeks to track the MSCI World index. The MSCI World index tracks stocks from 23 developed countries worldwide. The ETF's TER (total expense ratio) amounts to 0.12% p.a.. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The SPDR MSCI World UCITS ETF is a very large ETF with 12,318m Euro assets under management. The ETF was launched on 28 February 2019 and is domiciled in Ireland.;SPDR MSCI World UCITS ETF se snaží sledovat světový index MSCI. Světový index MSCI sleduje akcie z 23 rozvinutých zemí po celém světě. TER (celkový poměr nákladů) ETF činí 0,12% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. SPDR MSCI World UCITS ETF je velmi velký ETF s správou aktiv 12 318 mil. EUR. ETF byl spuštěn 28. února 2019 a je se sídlem v Irsku.;0.12%;0.12;EUR 12318m;12318.0;EUR;USD;Ireland;SPDR;28 February 2019;;;Physical;;MSCI World;Equity, World;;Akcie;False;Globální;1315.0;11.82;46.67;93.63;2.04;16.22;14.71;14.98;0.73;0.93;0.94;-20.45;-20.45;-20.45;-33.88;;;;;gettex;SPPW;7;;;;;;;2025-09-18T16:14:50.566264;success;0;Microsoft;4.94;Apple;4.09;Amazon.com, Inc.;2.93;Meta Platforms;2.22;Broadcom;1.71;Alphabet, Inc. A;1.47;Alphabet, Inc. C;1.25;Tesla;1.16;JPMorgan Chase & Co.;1.09;;;United States;68.98;Other;19.38;Japan;5.3;United Kingdom;3.54;Canada;2.8;Technology;28.6;Financials;14.52;Industrials;10.5;Consumer Discretionary;10.26;;;gettex;EUR;SPPW;;;;Borsa Italiana;EUR;SWRD;SWRD IMINSPPWE;SWRD.MI;;Euronext Amsterdam;EUR;SWRD;SWRD NAINSPPWE;SWRD.AS;;London Stock Exchange;USD;SWRD;SWRD LNINSPPW;SWRD.L;;London Stock Exchange;GBP;SWLD;SWLD LNINSPPWP;SWLD.L;;5.0;79.0;22.0;19.0;8.0;10.0;20.0
IE00B4K48X80;iShares Core MSCI Europe UCITS ETF EUR (Acc);https://www.justetf.com/en/etf-profile.html?isin=IE00B4K48X80;The iShares Core MSCI Europe UCITS ETF EUR (Acc) seeks to track the MSCI Europe index. The MSCI Europe index tracks the leading stocks from 15 European industrial countries. The ETF's TER (total expense ratio) amounts to 0.12% p.a.. The iShares Core MSCI Europe UCITS ETF EUR (Acc) is the largest ETF that tracks the MSCI Europe index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The iShares Core MSCI Europe UCITS ETF EUR (Acc) is a very large ETF with 11,935m Euro assets under management. The ETF was launched on 25 September 2009 and is domiciled in Ireland.;Ishares Core MSCI Europe UCITS ETF EUR (ACC) se snaží sledovat index MSCI Europe. Index MSCI Europe sleduje přední akciíy z 15 evropských průmyslových zemí. TER (celkový poměr výdajů) ETF činí 0,12% P.A .. Ishares Core MSCI Europe UCITS ETF EUR (ACC) je největší ETF, který sleduje index MSCI Europe. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. Ishares Core MSCI Europe UCITS ETF EUR (ACC) je velmi velký ETF s spravováním 11 935 milionů euro. ETF byl spuštěn 25. září 2009 a je se sídlem v Irsku.;0.12%;0.12;EUR 11935m;11935.0;EUR;EUR;Ireland;iShares;25 September 2009;Accumulating;;Physical;;MSCI Europe;Equity, Europe;;Akcie;False;Evropa;403.0;9.52;46.66;72.57;11.2;13.97;12.44;13.95;0.68;1.09;0.83;-16.26;-16.26;-19.31;-35.3;;;;;Bolsa Mexicana de Valores;-;10;;;;;;;2025-09-18T16:14:55.104350;success;0;ASML Holding NV;2.25;AstraZeneca PLC;1.89;Nestlé SA;1.87;Roche Holding AG;1.81;Novartis AG;1.79;HSBC Holdings Plc;1.76;Shell Plc;1.75;Siemens AG;1.59;Novo Nordisk A/S;1.26;;;Other;34.11;United Kingdom;21.01;Germany;15.38;France;15.37;Switzerland;14.13;Financials;22.3;IT;21.01;Industrials;18.54;Health Care;10.41;Consumer Staples;9.98;London Stock Exchange;GBX;SMEA;;;;gettex;EUR;EUNK;;;;Stuttgart Stock Exchange;EUR;EUNK;;;;Bolsa Mexicana de Valores;MXN;-;IMEAN MM;EUNKN.MX;;Borsa Italiana;EUR;SMEA;SMEA IMINAVIMEE;SMEA.MIIMACEUR.DE;;5.0;86.0;22.0;19.0;15.0;10.0;20.0
IE00B3WJKG14;iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc);https://www.justetf.com/en/etf-profile.html?isin=IE00B3WJKG14;The iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc) seeks to track the S&P 500 Capped 35/20 Information Technology index. The S&P 500 Capped 35/20 Information Technology index tracks the US information technology sector (GICS sector classification). The weight of the largest company in the index is capped to 35%, the weight of all other companies to 20%. The ETF's TER (total expense ratio) amounts to 0.15% p.a.. The iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc) is the only ETF that tracks the S&P 500 Capped 35/20 Information Technology index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc) is a very large ETF with 11,788m Euro assets under management. The ETF was launched on 20 November 2015 and is domiciled in Ireland.;Sektor IShares S&P 500 Information Technology UCITS ETF USD (ACC) se snaží sledovat index S&P 500 s omezeným 35/20 informačních technologií. Index informačních technologií S&P 500 Sleduje index informačních technologií v oblasti amerických informačních technologií (klasifikace sektoru GICS). Hmotnost největší společnosti v indexu je omezena na 35%, hmotnost všech ostatních společností na 20%. TER (celkový poměr nákladů) činí 0,15% p.a. Ishares S&P 500 Information Technology Sector UCITS ETF USD (ACC) je jediným ETF, který sleduje index 35/20 informačních technologií S&P 500. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. Sektor informačních technologií IShares S&P 500 UCITS ETF USD (ACC) je velmi velký ETF s 11 788 mil. EUR. ETF byl spuštěn 20. listopadu 2015 a je se sídlem v Irsku.;0.15%;0.15;EUR 11788m;11788.0;EUR;USD;Ireland;iShares;20 November 2015;Accumulating;;Physical;;S&P 500;Equity, United States, Technology;;Akcie;False;US;69.0;19.72;105.12;176.1;2.34;28.29;25.43;25.4;0.7;1.06;0.89;-30.37;-30.37;-30.37;-31.62;;;;;Bolsa Mexicana de Valores;-;8;;;;;;;2025-09-18T16:15:02.292833;success;0;NVIDIA Corp.;20.1;Apple;16.87;Broadcom;8.22;Oracle Corp.;2.46;Palantir Technologies, Inc.;2.0;AMD;1.7;Cisco Systems, Inc.;1.61;Salesforce, Inc.;1.47;IBM;1.4;;;United States;96.15;Other;2.65;;;;;;;;;;;;;;;;;London Stock Exchange;GBX;IITU;;;;gettex;EUR;QDVE;;;;Stuttgart Stock Exchange;EUR;QDVE;;;;Bolsa Mexicana de Valores;MXN;-;IUITN MM;IUITN.MX;;London Stock Exchange;USD;IUIT;IUIT LNINAVIITU;IITU.L421DINAV.DE;;5.0;82.0;22.0;19.0;11.0;10.0;20.0
IE00BFNM3G45;iShares MSCI USA Screened UCITS ETF USD (Acc);https://www.justetf.com/en/etf-profile.html?isin=IE00BFNM3G45;The iShares MSCI USA Screened UCITS ETF USD (Acc) seeks to track the MSCI USA Screened index. The MSCI USA Screened index tracks US companies. The index excludes companies that are involved in businesses related to thermal coal, controversial weapons, tobacco and other controversial industries. The ETF's TER (total expense ratio) amounts to 0.07% p.a.. The iShares MSCI USA Screened UCITS ETF USD (Acc) is the cheapest and largest ETF that tracks the MSCI USA Screened index. The ETF replicates the performance of the underlying index by full replication (buying all the index constituents). The dividends in the ETF are accumulated and reinvested in the ETF. The iShares MSCI USA Screened UCITS ETF USD (Acc) is a very large ETF with 11,504m Euro assets under management. The ETF was launched on 19 October 2018 and is domiciled in Ireland.;IShares MSCI USA Screeked UCITS ETF USD (ACC) se snaží sledovat index Screening MSCI USA. Index Screeted MSCI USA sleduje americké společnosti. Index vylučuje společnosti, které se podílejí na podnicích souvisejících s tepelným uhlím, kontroverzními zbraněmi, tabákem a jinými kontroverzními průmysly. TER (celkový poměr nákladů) ETF činí 0,07% p.a. IShares MSCI USA prověřované UCITS ETF USD (ACC) je nejlevnější a největší ETF, který sleduje index promítaný MSCI USA. ETF replikuje výkon podkladového indexu plnou replikací (nákup všech složek indexu). dividenday v ETF jsou akumulovány a reinvestovány do ETF. IShares MSCI USA Screeked UCITS ETF USD (ACC) je velmi velký ETF s 11 504 milionů euro. ETF byl spuštěn 19. října 2018 a je se sídlem v Irsku.;0.07%;0.07;EUR 11504m;11504.0;EUR;USD;Ireland;iShares;19 October 2018;Accumulating;;Physical;;MSCI USA Screened  USD;;Yes;Akcie;False;US;498.0;12.92;53.46;112.13;-0.52;20.92;18.43;18.7;0.62;0.83;0.87;-23.95;-23.95;-23.95;-33.62;;;;;Bolsa Mexicana de Valores;-;7;;;;;;;2025-09-18T16:15:10.321572;success;0;Microsoft;7.34;Apple;6.08;Amazon.com, Inc.;4.36;Meta Platforms;3.3;Broadcom;2.56;Alphabet, Inc. A;2.18;Alphabet, Inc. C;1.86;Tesla;1.74;JPMorgan Chase & Co.;1.61;;;United States;94.75;Other;3.59;;;;;;;Technology;38.85;Consumer Discretionary;11.54;Financials;11.52;;;;;gettex;EUR;SGAS;;;;London Stock Exchange;GBP;GPSA;;;;Stuttgart Stock Exchange;EUR;SGAS;;;;Bolsa Mexicana de Valores;MXN;-;SASUN MM;SASUN.MX;;London Stock Exchange;USD;SASU;SASU LNINAVSASU;SASU.L19I5INAV.DE;;5.0;83.0;26.0;19.0;8.0;10.0;20.0
LU1135865084;Amundi Core S&P 500 Swap UCITS ETF Acc;https://www.justetf.com/en/etf-profile.html?isin=LU1135865084;The Amundi Core S&P 500 Swap UCITS ETF Acc seeks to track the S&P 500® index. The S&P 500® index tracks the 500 largest US stocks. The ETF's TER (total expense ratio) amounts to 0.05% p.a.. The ETF replicates the performance of the underlying index synthetically with a swap. The dividends in the ETF are accumulated and reinvested in the ETF. The Amundi Core S&P 500 Swap UCITS ETF Acc is a very large ETF with 11,428m Euro assets under management. The ETF was launched on 9 December 2014 and is domiciled in Luxembourg.;Amundi Core S&P 500 Swap UCITS ETF ACC se snaží sledovat index S&P 500®. Index S&P 500® sleduje 500 největších amerických akcií. ETF TER (celkový poměr nákladů) činí 0,05% p.a. ETF replikuje výkon podkladového indexu synteticky s výměnou. dividenday v ETF jsou akumulovány a reinvestovány do ETF. AMUNDI Core S&P 500 Swap UCITS ETF ACC je velmi velký ETF s spravováním 11 428 milionů euro. ETF byla spuštěna 9. prosince 2014 a je bydliště v Lucemburku.;0.05%;0.05;EUR 11428m;11428.0;EUR;EUR;Luxembourg;Amundi;9 December 2014;Accumulating;;Synthetic (Unfunded swap);;S&P 500;Equity, United States;;Akcie;False;US;;11.24;50.25;109.85;-1.13;20.0;16.93;17.4;0.56;0.86;0.92;-22.39;-22.39;-22.39;-33.6;;;;;Bolsa Mexicana de Valores;-;9;;;;;;;2025-09-18T16:15:17.307613;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Borsa Italiana;EUR;SP5C;;;;gettex;EUR;LYP7;;;;Bolsa Mexicana de Valores;MXN;-;SP5CUN MM;SP5CN.MX;;Borsa Italiana;EUR;-;SP5C IMLYP7IV;SP5C.MILYP7INAV=SOLA;;Euronext Paris;EUR;SP5C;SP5C FPLYP7IV;LYP7.PALYP7INAV=SOLA;;5.0;92.0;30.0;19.0;13.0;10.0;20.0
IE00B4X9L533;HSBC MSCI World UCITS ETF USD;https://www.justetf.com/en/etf-profile.html?isin=IE00B4X9L533;The HSBC MSCI World UCITS ETF USD seeks to track the MSCI World index. The MSCI World index tracks stocks from 23 developed countries worldwide. The ETF's TER (total expense ratio) amounts to 0.15% p.a.. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The dividends in the ETF are distributed to the investors (Quarterly). The HSBC MSCI World UCITS ETF USD is a very large ETF with 11,434m Euro assets under management. The ETF was launched on 8 December 2010 and is domiciled in Ireland.;Svět HSBC MSCI World UCITS ETF USD se snaží sledovat světový index MSCI. Světový index MSCI sleduje akcie z 23 rozvinutých zemí po celém světě. TER (celkový poměr výdajů) ETF činí 0,15% p.a. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). dividenday v ETF jsou distribuovány investorům (čtvrtletně). HSBC MSCI World UCITS ETF USD je velmi velký ETF s spravováním 11 434 milionů euro. ETF byl spuštěn 8. prosince 2010 a je bydliště v Irsku.;0.15%;0.15;EUR 11434m;11434.0;EUR;USD;Ireland;HSBC;8 December 2010;;Quarterly;Physical;;MSCI World;Equity, World;;Akcie;False;Globální;1290.0;11.73;46.62;93.6;2.02;16.9;14.93;15.13;0.69;0.91;0.93;-20.46;-20.46;-20.46;-33.78;;;;;London Stock Exchange;-;9;1.37%;1.37;EUR 0.49;0.49;EUR;method2_regex;2025-09-18T16:15:22.236142;success;0;Microsoft;4.94;Apple;4.09;Amazon.com, Inc.;2.93;Meta Platforms;2.21;Broadcom;1.72;Alphabet, Inc. A;1.47;Alphabet, Inc. C;1.27;Tesla;1.16;JPMorgan Chase & Co.;1.1;;;United States;69.12;Other;19.28;Japan;5.3;United Kingdom;3.51;Canada;2.79;Technology;28.55;Financials;14.6;Industrials;10.52;Consumer Discretionary;10.33;;;London Stock Exchange;GBX;HMWO;;;;gettex;EUR;H4ZJ;;;;Stuttgart Stock Exchange;EUR;H4Z3;;;;Borsa Italiana;EUR;HMWD;HMWD IMHMWOEURI;HMWD.MIHMWOINAVEUR=HSBL;;Euronext Paris;EUR;WRD;WRD FPHMWOEURI;WRD.PAHMWOINAVEUR=HSBL;;5.0;79.0;22.0;19.0;13.0;5.0;20.0
IE00B3F81R35;iShares Core EUR Corporate Bond UCITS ETF (Dist);https://www.justetf.com/en/etf-profile.html?isin=IE00B3F81R35;The iShares Core EUR Corporate Bond UCITS ETF (Dist) seeks to track the Bloomberg Euro Corporate Bond index. The Bloomberg Euro Corporate Bond index tracks euro-denominated corporate bonds from industrial, utility and financial issuers publicly issued in the Eurobond and eurozone domestic markets. Rating: Investment Grade. The ETF's TER (total expense ratio) amounts to 0.09% p.a.. The iShares Core EUR Corporate Bond UCITS ETF (Dist) is the largest ETF that tracks the Bloomberg Euro Corporate Bond index. The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents). The interest income (coupons) in the ETF is distributed to the investors (Semi annually). The iShares Core EUR Corporate Bond UCITS ETF (Dist) is a very large ETF with 10,426m Euro assets under management. The ETF was launched on 6 March 2009 and is domiciled in Ireland.;IShares Core Corporate Bond UCITS ETF (Dist) se snaží sledovat index společnosti Bloomberg Euro Corporate Bond. Index společnosti Bloomberg Euro Corporate Bond sleduje firemní dluhopisy denominované euro z průmyslových, energetických a finančních emitentů veřejně vydaných na domácím trhu Eurobond a Eurozóny. Hodnocení: Investiční třída. TER (celkový poměr nákladů) činí 0,09% P.A .. Ishares Core Eur Corporate Bond UCITS ETF (DIST) je největší ETF, který sleduje index Bloomberg Euro Corporate Bond Index. ETF replikuje výkon základního indexu technikou vzorkování (nákup výběru nejdůležitějších složek indexu). Úrokové výnosy (kupóny) v ETF jsou distribuovány investorům (semifinále každoročně). Ishares Core EUR Corporate Bond UCITS ETF (DIST) je velmi velký ETF s spravováním 10 426 milionů euro. ETF byl spuštěn 6. března 2009 a je se sídlem v Irsku.;0.09%;0.09;EUR 10426m;10426.0;EUR;EUR;Ireland;iShares;6 March 2009;Distributing;Semi annually;Physical;;;Bonds, EUR, World, Corporate, All maturities;;Dluhopisy;False;Globální;3935.0;4.21;14.55;0.65;2.83;2.67;3.97;3.92;1.58;1.17;0.03;-1.78;-3.79;-17.56;-17.56;;;;;Extracted (method 1);EUN5;0;3.30%;3.3;EUR 3.98;3.98;EUR;method2_regex;2025-09-18T16:15:28.510814;success;0;CH1214797172;0.12;BE6285455497;0.1;XS1586555945;0.09;BE6285457519;0.09;XS2461234622;0.08;XS2193662728;0.08;XS2705604234;0.08;XS2717291970;0.07;XS2790333889;0.07;;;Other;50.92;France;15.63;United States;15.24;Netherlands;11.76;Germany;6.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;88.0;26.0;19.0;15.0;10.0;18.0
